,RAIZ,identificador,situação cadastral,data situacao,motivo situacao,data início atividade,cnae principal,logradouro,numero,bairro,cep,uf,municipio
5215,11754525,1,2,20100325,0,20100325,3011301,ALMIRANTE MAXIMIANO FONSECA,4361,ZONA PORTUARIA,96204040.0,RS,8815
6430,03861474,1,2,20061030,0,20061030,4693100,BENJAMIN DAGNONI,2900,RIO DO MEIO,88316100.0,SC,8161
7199,05053020,1,2,20051103,0,19741128,2441501,PA 483 KM 21,S/N,MURUCUPI,68445000.0,PA,425
7201,05058541,1,4,20201027,63,20020520,2222600,MOZART PINHEIRO DE LUCENA,2498,BARRA DO CEARA,60352645.0,CE,1389
7208,01830145,1,2,20050827,0,19970516,4639701,EDUARDO LIMA E SILVA,1043,AGENOR DE CARVALHO,76820202.0,RO,3
7211,01914288,1,2,20051103,0,19970610,7112000,ENG LUIZ CARLOS BERRINI,105,CIDADE MONCOES,4571900.0,SP,7107
7213,01927184,1,2,20051103,0,19970612,3101200,"28, ESQUINA COM A RUA 30",S/N,SETOR TRIUNFO,75370000.0,GO,9375
7229,03699194,1,2,20050820,0,20000224,6021700,ALEXANDRE DE GUSMAO,1.413,JARDIM  MARIA LUIZA,85819530.0,PR,7493
7244,00411002,1,2,20051028,0,19950126,8211300,DOUTOR GUILHERME BANNITZ,126,ITAIM BIBI,4532060.0,SP,7107
7659,03857349,1,2,20041224,0,19691023,6810201,GUILHERME MEYER,1275,CENTRO,78560000.0,MT,9135
7678,02180624,1,8,20210430,2,19971003,2733300,ALCOA,5801,AEROPORTO,37706178.0,MG,5035
7709,03910721,1,2,20051103,0,20000613,4110700,DO MAR KM 35,1000,VELAS DA MARINA,95555000.0,RS,8915
7725,05618698,1,4,20030207,64,20030207,4623101,CAVERNA II,S/N,SERRINHA,84990000.0,PR,7429
7750,00706474,1,2,20050827,0,19950714,4784900,V 15,533,CIDADE JARDIM,75503970.0,GO,9425
7755,04033930,1,2,20050827,0,20000906,600001,DAS AMERICAS,3500,BARRA DA TIJUCA,22640102.0,RJ,6001
7782,00795956,1,8,20150209,73,19950906,4781400,BENJAMIM CONSTANT,339,CENTRO,36400001.0,MG,4365
7795,02430084,1,2,20051103,0,19980325,8650004,MOURATO COELHO,798,PINHEIROS,5417001.0,SP,7107
7837,02502447,1,2,19990828,0,19980504,7112000,QUATORZE,292,CENTRO,38300066.0,MG,4683
7862,00887612,1,2,20051103,0,19840613,8011101,MARAJO,174,PRQ AMAZONIA,74835230.0,GO,9373
7914,00910496,1,8,20051031,2,19951108,2071100,LINDOMAR GOMES DE OLIVEIRA,100,CUMBICA,7220900.0,SP,6477
7985,04264393,1,2,20051103,0,20010202,4511101,MARECHAL MASCARENHAS DE MORAIS,2727,IMBIRIBEIRA,51150000.0,PE,2531
8089,71220016,1,2,20050924,0,19930720,4511104,VER CICERO IDELFONSO,1534,CALIFORNIA,30855000.0,MG,4123
8367,04436976,1,2,20050930,0,20010511,7020400,PASTOR MARTIN LUTHER KING JR.,00126,DEL CASTILHO,20765000.0,RJ,6001
8397,04446606,1,2,0,0,20010517,4299599,BARAO DE JUNDIAI,209,CENTRO,13201010.0,SP,6619
8505,01133510,1,2,20041224,0,19960409,990402,GOIAS,400,SET CENTRAL,74010010.0,GO,9373
8514,02771893,1,2,20051103,0,19980813,8610101,TAQUARI,111,VERA CRUZ,99040730.0,RS,8785
8531,04526876,1,2,20051103,0,20010605,4783101,MARECHAL FLORIANO,202,SAO CRISTOVAO,99200000.0,RS,8687
8538,06204483,1,8,20160104,1,20040416,8640205,MARIA TERESA,161,CENTRO,36307312.0,MG,5249
8565,04545690,1,2,20040612,0,20010711,7912100,BRASIL,1345,CENTRO,85851000.0,PR,7563
8573,36117547,1,2,20051103,0,19900423,6462000,ALBERTO PEREIRA DOS SANTOS FILHO,94,PITEIRA,27331200.0,RJ,5807
8649,02864364,1,2,20051103,0,19981023,6550200,ANA COSTA,468,GONZAGA,11060002.0,SP,7071
8674,56925019,1,2,20051103,0,19660816,1111901,CORONEL JOAQUIM VICTOR,815,JARDIM 22 DE MAIO,13670000.0,SP,7051
8687,57185993,1,2,20051103,0,19870318,6622300,QUIRINO DE ANDRADE,185,CENTRO,1049902.0,SP,7107
8688,06822340,1,8,20120430,2,19810915,1094500,PARQUE OESTE,2113,INDUSTRIAL,61939120.0,CE,1585
8695,57273211,1,2,20020511,0,19930916,8011101,DUQSA DE GOIAS,832,REAL PARQUE,5686002.0,SP,7107
8698,75315333,1,2,20051103,0,19730828,4711301,MOVAN DIAS DE FIGUEIREDO,6169,VL MARIA BAIXA,2170901.0,SP,7107
9236,20628376,1,2,20051103,0,19710507,4511104,RIO BAHIA,S/N,JARDIM IPE,35043000.0,MG,4553
9312,01352926,1,2,20051103,0,19960730,2221800,BARAO DE MAUA,2370,PARQUE INDUSTRIAL GETULIO VARGAS,13846300.0,SP,6715
9377,76492701,1,2,20051103,0,19660816,8211300,NOSSA SENHORA DA LUZ,1330,HUGO LANGE,80040265.0,PR,7535
9378,58131582,1,2,20051103,0,19660426,8411600,DOS EXPEDICIONARIOS,10,GONZAGA,11065500.0,SP,7071
9397,02995040,1,2,20050827,0,19990223,2949299,DAS INDUSTRIAS,380,FAZENDA IGUACU,83820332.0,PR,9983
9401,02998301,1,2,20051103,0,19990222,3511501,FUNCHAL,418,VILA OLIMPIA,4551060.0,SP,7107
9407,06981381,1,2,0,0,20040827,7210000,RODOVIA SP 147,S/N,FAZENDA SANTO ANTONIO,13433899.0,SP,6875
9409,21572243,1,2,20040828,0,19660927,3600601,BARAO DO RIO BRANCO,1843,CENTRO,36013020.0,MG,4733
9437,58910316,1,2,20051103,0,19880516,1721400,ARY,190,VILA PEREIRA,13490000.0,SP,6349
9453,22007280,1,2,20011117,0,19860512,6810202,BENEDITO ARTUR DE MELO,71,JARDIM ANA MARIA,37600000.0,MG,4211
9454,04866462,1,2,20031004,0,20020103,6462000,CIDADE DE DEUS S/N,S/N,VILA YARA,6029900.0,SP,6789
9483,04913711,1,2,20051103,0,19660929,6422100,PRESIDENTE VARGAS,251,CAMPINA,66010000.0,PA,427
9604,23117229,1,2,20051103,0,19660810,2411300,PEQUI,189,SANTOS DUMONT,35660308.0,MG,4941
9606,60165859,1,8,20091031,2,19890224,8299799,ANGELICA,903,HIGIENOPOLIS,1227901.0,SP,7107
9634,01562879,1,2,20051103,0,19961202,8640299,DAS BANDEIRAS,301,CENTRO,9090780.0,SP,7057
9665,60491701,1,2,20040214,0,19890519,4759801, ALVES GUIMARAES,533,PINHEIROS,5410000.0,SP,7107
9676,60830833,1,8,20081231,2,19660721,4329199,DOUTOR CARDOSO DE MELO,1855,VILA OLIMPIA,4548000.0,SP,7107
9677,60890456,1,2,20051103,0,19660708,6463800,PEDROSO DE MORAIS 240,240,PINHEIROS,5420903.0,SP,7107
9678,60911690,1,2,20050924,0,19890608,6209100,AMAZONAS,439,CENTRO,9520070.0,SP,7077
9684,61082988,1,2,20051103,0,19660711,2412100,JOAQUIM FLORIANO,466,ITAIM BIBI,4534002.0,SP,7107
9685,61139697,1,2,20050624,0,19660731,4619200,PAULISTA,1842,BELA VISTA,1310200.0,SP,7107
